Port Sets,count
17140-34226-33972,1012
17140-34226-34222,706
17140-34226-34230,690
17140-34226-33966,697
17140-34226-33974,667
17140-33970-33972,952
17140-33970-34222,719
17140-33970-34230,674
17140-33970-33966,670
17140-33970-33974,634
17140-33972-34222,708
17140-33972-34230,685
17140-33972-33966,648
17140-33972-33974,628
17140-34222-34230,491
17140-34222-33966,508
17140-34222-33974,489
17140-34230-33966,516
17140-34230-33974,476
17140-33966-33974,463
17128-17138-17130,12507
17128-17138-17136,12422
17128-17138-17142,10378
17128-17138-17134,10430
17128-17138-34218,2474
17128-17138-34220,2410
17128-17138-33968,2412
17128-17138-34224,2421
17128-17138-34228,2415
17128-17138-33962,2422
17128-17138-33960,2420
17128-17138-33964,2363
17128-17138-34216,2369
17128-17138-34226,2393
17128-17138-33970,2359
17128-17138-33972,2378
17128-17138-34222,1535
17128-17138-34230,1472
17128-17138-33966,1488
17128-17138-33974,1387
17128-17130-17136,12523
17128-17130-17142,10425
17128-17130-17134,10492
17128-17130-34218,2497
17128-17130-34220,2423
17128-17130-33968,2430
17128-17130-34224,2444
17128-17130-34228,2410
17128-17130-33962,2448
17128-17130-33960,2423
17128-17130-33964,2351
17128-17130-34216,2375
17128-17130-34226,2365
17128-17130-33970,2363
17128-17130-33972,2372
17128-17130-34222,1536
17128-17130-34230,1472
17128-17130-33966,1496
17128-17130-33974,1397
17128-17136-17142,10338
17128-17136-17134,10418
17128-17136-34218,2476
17128-17136-34220,2421
17128-17136-33968,2434
17128-17136-34224,2439
17128-17136-34228,2418
17128-17136-33962,2441
17128-17136-33960,2422
17128-17136-33964,2364
17128-17136-34216,2396
17128-17136-34226,2373
17128-17136-33970,2339
17128-17136-33972,2372
17128-17136-34222,1531
17128-17136-34230,1479
17128-17136-33966,1497
17128-17136-33974,1385
17128-17142-17134,8895
17128-17142-34218,2294
17128-17142-34220,2238
17128-17142-33968,2264
17128-17142-34224,2284
17128-17142-34228,2251
17128-17142-33962,2272
17128-17142-33960,2260
17128-17142-33964,2186
17128-17142-34216,2217
17128-17142-34226,2208
17128-17142-33970,2195
17128-17142-33972,2201
17128-17142-34222,1454
17128-17142-34230,1406
17128-17142-33966,1419
17128-17142-33974,1301
17128-17134-34218,2318
17128-17134-34220,2275
17128-17134-33968,2259
17128-17134-34224,2278
17128-17134-34228,2253
17128-17134-33962,2274
17128-17134-33960,2254
17128-17134-33964,2187
17128-17134-34216,2227
17128-17134-34226,2240
17128-17134-33970,2182
17128-17134-33972,2214
17128-17134-34222,1456
17128-17134-34230,1404
17128-17134-33966,1417
17128-17134-33974,1318
17128-34218-34220,1006
17128-34218-33968,1029
17128-34218-34224,1073
17128-34218-34228,981
17128-34218-33962,1023
17128-34218-33960,1004
17128-34218-33964,977
17128-34218-34216,994
17128-34218-34226,1014
17128-34218-33970,992
17128-34218-33972,973
17128-34218-34222,714
17128-34218-34230,689
17128-34218-33966,698
17128-34218-33974,658
17128-34220-33968,1018
17128-34220-34224,1034
17128-34220-34228,988
17128-34220-33962,1004
17128-34220-33960,991
17128-34220-33964,1001
17128-34220-34216,967
17128-34220-34226,996
17128-34220-33970,967
17128-34220-33972,971
17128-34220-34222,740
17128-34220-34230,682
17128-34220-33966,694
17128-34220-33974,651
17128-33968-34224,1028
17128-33968-34228,988
17128-33968-33962,1004
17128-33968-33960,1020
17128-33968-33964,989
17128-33968-34216,1000
17128-33968-34226,1009
17128-33968-33970,988
17128-33968-33972,977
17128-33968-34222,718
17128-33968-34230,691
17128-33968-33966,685
17128-33968-33974,651
17128-34224-34228,999
17128-34224-33962,1014
17128-34224-33960,1012
17128-34224-33964,990
17128-34224-34216,1011
17128-34224-34226,1014
17128-34224-33970,996
17128-34224-33972,1002
17128-34224-34222,719
17128-34224-34230,683
17128-34224-33966,707
17128-34224-33974,647
17128-34228-33962,1012
17128-34228-33960,970
17128-34228-33964,972
17128-34228-34216,988
17128-34228-34226,1001
17128-34228-33970,969
17128-34228-33972,941
17128-34228-34222,704
17128-34228-34230,688
17128-34228-33966,672
17128-34228-33974,633
17128-33962-33960,999
17128-33962-33964,992
17128-33962-34216,991
17128-33962-34226,1025
17128-33962-33970,1003
17128-33962-33972,975
17128-33962-34222,711
17128-33962-34230,707
17128-33962-33966,723
17128-33962-33974,663
17128-33960-33964,996
17128-33960-34216,985
17128-33960-34226,1023
17128-33960-33970,966
17128-33960-33972,980
17128-33960-34222,721
17128-33960-34230,683
17128-33960-33966,695
17128-33960-33974,658
17128-33964-34216,958
17128-33964-34226,988
17128-33964-33970,980
17128-33964-33972,950
17128-33964-34222,684
17128-33964-34230,678
17128-33964-33966,667
17128-33964-33974,644
17128-34216-34226,1005
17128-34216-33970,986
17128-34216-33972,980
17128-34216-34222,692
17128-34216-34230,693
17128-34216-33966,670
17128-34216-33974,653
17128-34226-33970,987
17128-34226-33972,1008
17128-34226-34222,704
17128-34226-34230,692
17128-34226-33966,698
17128-34226-33974,671
17128-33970-33972,955
17128-33970-34222,719
17128-33970-34230,671
17128-33970-33966,674
17128-33970-33974,634
17128-33972-34222,711
17128-33972-34230,684
17128-33972-33966,649
17128-33972-33974,629
17128-34222-34230,493
17128-34222-33966,509
17128-34222-33974,488
17128-34230-33966,518
17128-34230-33974,473
17128-33966-33974,464
17138-17130-17136,12439
17138-17130-17142,10357
17138-17130-17134,10438
17138-17130-34218,2480
17138-17130-34220,2404
17138-17130-33968,2420
17138-17130-34224,2431
17138-17130-34228,2389
17138-17130-33962,2428
17138-17130-33960,2422
17138-17130-33964,2347
17138-17130-34216,2357
17138-17130-34226,2385
17138-17130-33970,2381
17138-17130-33972,2371
17138-17130-34222,1508
17138-17130-34230,1482
17138-17130-33966,1487
17138-17130-33974,1392
17138-17136-17142,10277
17138-17136-17134,10378
17138-17136-34218,2464
17138-17136-34220,2414
17138-17136-33968,2408
17138-17136-34224,2423
17138-17136-34228,2398
17138-17136-33962,2410
17138-17136-33960,2422
17138-17136-33964,2356
17138-17136-34216,2377
17138-17136-34226,2396
17138-17136-33970,2349
17138-17136-33972,2376
17138-17136-34222,1514
17138-17136-34230,1475
17138-17136-33966,1477
17138-17136-33974,1391
17138-17142-17134,8873
17138-17142-34218,2287
17138-17142-34220,2237
17138-17142-33968,2245
17138-17142-34224,2288
17138-17142-34228,2250
17138-17142-33962,2260
17138-17142-33960,2252
17138-17142-33964,2187
17138-17142-34216,2208
17138-17142-34226,2229
17138-17142-33970,2215
17138-17142-33972,2212
17138-17142-34222,1444
17138-17142-34230,1393
17138-17142-33966,1407
17138-17142-33974,1310
17138-17134-34218,2310
17138-17134-34220,2256
17138-17134-33968,2252
17138-17134-34224,2277
17138-17134-34228,2245
17138-17134-33962,2248
17138-17134-33960,2256
17138-17134-33964,2180
17138-17134-34216,2233
17138-17134-34226,2261
17138-17134-33970,2185
